title,overview,genres,combined_features
Best F(r)iends: Volume 1,"When a drifter befriends a quirky mortician, an unlikely business partnership is formed. Paranoia soon develops, however, and both men are forced to come to terms with the fragility of friendship and loyalty.","Comedy, Drama, Thriller","Best F(r)iends: Volume 1.Comedy, Drama, Thriller.When a drifter befriends a quirky mortician, an unlikely business partnership is formed. Paranoia soon develops, however, and both men are forced to come to terms with the fragility of friendship and loyalty."
The Girl in the Park,"A mother, enduringly traumatized by the disappearance of her three-year old daughter 15 years ago, has cut herself off from her ex-husband and son. However, when a troubled young woman with a checkered past enters her life, old psychic wounds painfully resurface, as does the illogical and increasingly irrational hope that the young woman may be the daughter she lost so long ago.",Drama,"The Girl in the Park.Drama.A mother, enduringly traumatized by the disappearance of her three-year old daughter 15 years ago, has cut herself off from her ex-husband and son. However, when a troubled young woman with a checkered past enters her life, old psychic wounds painfully resurface, as does the illogical and increasingly irrational hope that the young woman may be the daughter she lost so long ago."
"Quo Vadis, Baby?",A private detective investigates her sister's suicide 16 years earlier.,"Drama, Thriller","Quo Vadis, Baby?.Drama, Thriller.A private detective investigates her sister's suicide 16 years earlier."
Kevin Hart: What Now?,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",Comedy,"Kevin Hart: What Now?.Comedy.Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field."
Trial and Error,"An actor poses as a lawyer to help his sick friend, and problems develop.","Comedy, Romance","Trial and Error.Comedy, Romance.An actor poses as a lawyer to help his sick friend, and problems develop."
World of Tomorrow,A little girl is taken on a mind-bending tour of her distant future.,"Animation, Drama, Science Fiction","World of Tomorrow.Animation, Drama, Science Fiction.A little girl is taken on a mind-bending tour of her distant future."
Ingrid Bergman: In Her Own Words,"A personal and captivating account of the extraordinary life and work of Ingrid Bergman (1915-82), a young Swedish woman who became one of the most celebrated actresses in world cinema.","Documentary, History","Ingrid Bergman: In Her Own Words.Documentary, History.A personal and captivating account of the extraordinary life and work of Ingrid Bergman (1915-82), a young Swedish woman who became one of the most celebrated actresses in world cinema."
Gad Elmaleh: American Dream,"In his first English-language special, comedian Gad Elmaleh gleefully digs into America's food obsessions, dating culture, slang, and more.",Comedy,"Gad Elmaleh: American Dream.Comedy.In his first English-language special, comedian Gad Elmaleh gleefully digs into America's food obsessions, dating culture, slang, and more."
Crush the Skull,"A couple of master thieves find themselves trapped within a house they intended to rob, only to discover they've inadvertently wandered into the lair of a deranged serial killer.","Thriller, Comedy, Horror","Crush the Skull.Thriller, Comedy, Horror.A couple of master thieves find themselves trapped within a house they intended to rob, only to discover they've inadvertently wandered into the lair of a deranged serial killer."
"Kumiko, the Treasure Hunter","Frustrated with her mundane life, a Tokyo office worker becomes obsessed with a fictional movie that she mistakes for a documentary. Fixating on a scene where stolen cash is buried in North Dakota, she travels to America to find it.",Drama,"Kumiko, the Treasure Hunter.Drama.Frustrated with her mundane life, a Tokyo office worker becomes obsessed with a fictional movie that she mistakes for a documentary. Fixating on a scene where stolen cash is buried in North Dakota, she travels to America to find it."
Forest Warrior,"John McKenna is a spiritual being who is able to transform into bear, wolf or eagle. He lives in the forests of Tanglewood and has dedicated his life to protect them. One day a gang of evil lumberjacks led by Travis Thorne arrive Tanglewood to chop the forest down. McKenna cannot let this happen, and together with his new friends - Lords of the Tanglewood, a band of children who love to play in the forest - he battles against Thorne and his evil gang.","Action, Family","Forest Warrior.Action, Family.John McKenna is a spiritual being who is able to transform into bear, wolf or eagle. He lives in the forests of Tanglewood and has dedicated his life to protect them. One day a gang of evil lumberjacks led by Travis Thorne arrive Tanglewood to chop the forest down. McKenna cannot let this happen, and together with his new friends - Lords of the Tanglewood, a band of children who love to play in the forest - he battles against Thorne and his evil gang."
The Girl Without Hands,A poor miller gets tricked by the Devil and accidentally sells his daughter for a bit of gold. But Satan can't take her because she's too pure and has wept on her hands. So Satan orders the miller to cut her hands off. It's the beginning of the young girl's journey towards freedom.,"Animation, Fantasy, Romance","The Girl Without Hands.Animation, Fantasy, Romance.A poor miller gets tricked by the Devil and accidentally sells his daughter for a bit of gold. But Satan can't take her because she's too pure and has wept on her hands. So Satan orders the miller to cut her hands off. It's the beginning of the young girl's journey towards freedom."
Paradise Lost 3: Purgatory,A further investigation into the arrest of three teenagers convicted of killing three young boys in Arkansas who spent nearly 20 years in prison before being released after new DNA evidence indicated they may be innocent.,"Documentary, Crime","Paradise Lost 3: Purgatory.Documentary, Crime.A further investigation into the arrest of three teenagers convicted of killing three young boys in Arkansas who spent nearly 20 years in prison before being released after new DNA evidence indicated they may be innocent."
